customer_id,segment,age,gender,loyalty_member
C00175,Occasional Visitors,59,F,True
C00176,Rx-Only,64,F,True
C00177,Chronic Loyalists,44,F,True
C00178,Chronic Loyalists,58,M,True
C00179,Rx-Only,76,F,True
C00180,Occasional Visitors,65,M,False
C00181,At-Risk Lapsing,55,M,True
C00182,Occasional Visitors,43,M,False
C00183,Occasional Visitors,58,M,True
C00184,Chronic Loyalists,26,M,True
C00185,Health Seekers,66,F,True
C00186,Occasional Visitors,53,F,True
C00187,Occasional Visitors,36,F,True
C00188,Health Seekers,23,F,False
C00189,Rx-Only,27,F,True
C00190,Occasional Visitors,73,F,True
C00191,Rx-Only,60,F,False
C00192,Health Seekers,58,F,True
C00193,Occasional Visitors,26,F,True
C00194,Occasional Visitors,52,M,True
C00195,Rx-Only,36,F,True
C00196,Rx-Only,66,F,True
C00197,Rx-Only,47,M,True
C00198,At-Risk Lapsing,61,F,True
C00199,Rx-Only,67,F,False
C00200,Rx-Only,46,M,True
C00201,Price Sensitives,57,F,False
C00202,Chronic Loyalists,63,F,True
C00203,Rx-Only,50,M,False
C00204,Rx-Only,67,M,True
C00205,Chronic Loyalists,22,F,True
C00206,Health Seekers,30,F,True
C00207,Chronic Loyalists,62,M,True
C00208,Price Sensitives,23,F,True
C00209,Price Sensitives,64,M,False
C00210,Health Seekers,46,F,True
C00211,Health Seekers,64,F,True
C00212,Rx-Only,38,F,True
C00213,Price Sensitives,61,F,True
C00214,Chronic Loyalists,44,M,False
C00215,Chronic Loyalists,50,F,True
C00216,Chronic Loyalists,35,F,True
C00217,Rx-Only,71,F,False
C00218,Chronic Loyalists,50,M,False
C00219,Health Seekers,67,F,False
C00220,Chronic Loyalists,71,F,True
C00221,Health Seekers,45,M,True
C00222,Health Seekers,58,M,True
C00223,Occasional Visitors,56,M,True
C00224,Price Sensitives,64,F,False
C00225,Chronic Loyalists,35,M,False
C00226,Rx-Only,54,M,True
C00227,Price Sensitives,50,M,False
C00228,Occasional Visitors,41,M,False
C00229,Health Seekers,76,M,True
C00230,Occasional Visitors,30,M,True
C00231,Price Sensitives,43,F,True
C00232,Rx-Only,67,F,True
C00233,Chronic Loyalists,35,F,True
C00234,Health Seekers,75,F,True
C00235,Rx-Only,66,F,True
C00236,Price Sensitives,42,F,True
C00237,Chronic Loyalists,58,F,False
C00238,Chronic Loyalists,43,M,False
C00239,Occasional Visitors,55,F,True
C00240,Chronic Loyalists,66,F,True
C00241,Rx-Only,23,M,True
C00242,Chronic Loyalists,72,M,True
C00243,Health Seekers,70,F,True
C00244,Rx-Only,68,F,True
C00245,Chronic Loyalists,57,F,True
C00246,Occasional Visitors,66,M,True
C00247,Rx-Only,30,M,True
C00248,Occasional Visitors,61,M,True
C00249,Occasional Visitors,58,M,False
C00250,Chronic Loyalists,33,M,True
C00251,At-Risk Lapsing,38,F,True
C00252,Chronic Loyalists,37,F,True
C00253,Occasional Visitors,58,F,False
C00254,Health Seekers,46,F,True
C00255,Price Sensitives,68,M,True
C00256,At-Risk Lapsing,47,F,False
C00257,Chronic Loyalists,74,F,True
C00258,Rx-Only,50,F,False
C00259,Rx-Only,63,F,True
C00260,Health Seekers,66,M,True
C00261,Occasional Visitors,65,F,False
C00262,Rx-Only,43,M,True
C00263,Rx-Only,65,M,True
C00264,At-Risk Lapsing,76,M,True
C00265,Price Sensitives,60,M,True
C00266,Chronic Loyalists,74,F,True
C00267,Health Seekers,51,M,True
C00268,Occasional Visitors,70,M,True
C00269,Health Seekers,25,F,True
C00270,Price Sensitives,36,M,True
C00271,Occasional Visitors,33,F,False
C00272,Health Seekers,27,F,False
C00273,Price Sensitives,55,M,False
C00274,Health Seekers,41,F,True
C00275,Rx-Only,31,M,True
C00276,Chronic Loyalists,24,F,False
C00277,At-Risk Lapsing,70,F,True
C00278,Rx-Only,63,F,True
C00279,Chronic Loyalists,53,F,True
C00280,Rx-Only,30,F,False
C00281,Price Sensitives,24,M,True
C00282,Chronic Loyalists,55,F,False
C00283,Rx-Only,55,M,True
C00284,Occasional Visitors,69,F,True
C00285,Health Seekers,34,F,False
C00286,Rx-Only,53,F,False
C00287,Health Seekers,55,F,False
C00288,Price Sensitives,40,F,True
C00289,Chronic Loyalists,69,F,False
C00290,Price Sensitives,57,F,False
C00291,Chronic Loyalists,64,F,True
C00292,Occasional Visitors,31,F,True
C00293,Price Sensitives,39,F,False
C00294,Rx-Only,60,M,True
C00295,At-Risk Lapsing,38,M,True
C00296,Chronic Loyalists,66,F,True
C00297,Chronic Loyalists,62,F,True
C00298,Price Sensitives,50,F,True
C00299,Occasional Visitors,25,M,True
C00300,Chronic Loyalists,31,F,True
C00301,Price Sensitives,35,F,False
C00302,Occasional Visitors,56,F,True
C00303,Chronic Loyalists,54,M,True
C00304,Health Seekers,44,M,True
C00305,Price Sensitives,56,F,True
C00306,Occasional Visitors,50,M,False
C00307,Occasional Visitors,41,F,True
C00308,At-Risk Lapsing,65,M,True
C00309,Price Sensitives,58,F,True
C00310,Health Seekers,24,M,True
C00311,Health Seekers,56,M,True
C00312,Price Sensitives,37,F,True
C00313,Chronic Loyalists,50,F,False
C00314,Rx-Only,28,F,True
C00315,Price Sensitives,24,M,True
C00316,Chronic Loyalists,28,M,True
C00317,Chronic Loyalists,43,F,True
C00318,At-Risk Lapsing,38,M,True
C00319,Health Seekers,67,F,True
C00320,Occasional Visitors,54,F,False
C00321,Occasional Visitors,72,M,True
C00322,At-Risk Lapsing,53,M,True
C00323,Chronic Loyalists,54,F,True
C00324,Rx-Only,54,F,True
C00325,Chronic Loyalists,43,M,False
C00326,Occasional Visitors,71,F,True
C00327,Occasional Visitors,61,F,True
C00328,Chronic Loyalists,27,F,True
C00329,Occasional Visitors,29,F,True
C00330,Occasional Visitors,68,F,True
C00331,Price Sensitives,25,F,False
C00332,Rx-Only,62,M,True
C00333,Chronic Loyalists,44,F,True
C00334,Chronic Loyalists,76,F,True
C00335,Occasional Visitors,76,M,True
C00336,Chronic Loyalists,40,M,False
C00337,Rx-Only,49,M,True
C00338,Rx-Only,36,M,True
C00339,At-Risk Lapsing,45,M,True
C00340,Health Seekers,41,F,True
C00341,Rx-Only,57,M,True
C00342,Price Sensitives,55,F,True
C00343,At-Risk Lapsing,75,M,True
C00344,Rx-Only,42,F,True
C00345,Rx-Only,51,M,True
C00346,Rx-Only,58,F,True
C00347,Chronic Loyalists,68,F,True
C00348,Chronic Loyalists,38,M,False
C00349,Price Sensitives,26,M,False
C00350,Chronic Loyalists,66,M,True
C00351,Chronic Loyalists,35,M,True
C00352,Chronic Loyalists,26,M,True
C00353,Health Seekers,75,M,True
C00354,Health Seekers,33,F,False
C00355,Price Sensitives,65,F,True
C00356,At-Risk Lapsing,30,F,False
C00357,Chronic Loyalists,76,M,True
C00358,Health Seekers,70,F,True
C00359,Rx-Only,64,M,True
C00360,Price Sensitives,52,M,True
C00361,Health Seekers,59,M,True
C00362,Chronic Loyalists,71,M,True
C00363,Chronic Loyalists,76,F,True
C00364,At-Risk Lapsing,68,F,False
C00365,Price Sensitives,31,M,True
C00366,Occasional Visitors,68,F,True
C00367,Price Sensitives,67,F,True
C00368,Price Sensitives,35,M,True
C00369,Chronic Loyalists,49,M,True
C00370,At-Risk Lapsing,62,F,False
C00371,Chronic Loyalists,52,F,False
C00372,Occasional Visitors,25,F,False
C00373,Occasional Visitors,62,M,False
C00374,Health Seekers,75,F,True
C00375,Health Seekers,28,F,True
C00376,Rx-Only,70,F,True
C00377,Chronic Loyalists,56,M,True
C00378,Rx-Only,24,F,False
C00379,Rx-Only,74,F,True
C00380,Health Seekers,58,M,True
C00381,Occasional Visitors,27,F,True
C00382,Rx-Only,42,M,True
C00383,Chronic Loyalists,36,M,False
C00384,Chronic Loyalists,34,M,True
C00385,Rx-Only,74,M,True
C00386,Rx-Only,29,M,True
C00387,Health Seekers,34,M,True
C00388,Chronic Loyalists,65,M,True
C00389,Health Seekers,70,F,True
C00390,Occasional Visitors,22,M,True
C00391,Chronic Loyalists,34,F,False
C00392,Rx-Only,47,M,True
C00393,Health Seekers,63,F,True
C00394,Health Seekers,25,M,False
C00395,Occasional Visitors,39,F,True
C00396,Rx-Only,26,M,True
C00397,Rx-Only,42,M,True
C00398,Health Seekers,28,F,True
C00399,Rx-Only,46,F,True
C00400,Occasional Visitors,63,M,True
C00401,Occasional Visitors,60,M,False
C00402,Rx-Only,59,F,True
C00403,Health Seekers,58,F,True
C00404,Health Seekers,62,F,True
C00405,Occasional Visitors,65,M,True
C00406,Price Sensitives,71,F,True
C00407,Rx-Only,43,F,False
C00408,Health Seekers,56,F,True
C00409,Rx-Only,57,F,True
C00410,Chronic Loyalists,37,M,True
C00411,Occasional Visitors,38,M,False
C00412,Rx-Only,51,M,True
C00413,Chronic Loyalists,41,F,True
C00414,Occasional Visitors,41,F,True
C00415,Occasional Visitors,54,F,True
C00416,Chronic Loyalists,35,M,True
C00417,Health Seekers,42,M,True
C00418,Health Seekers,73,M,False
C00419,Rx-Only,56,F,True
C00420,Price Sensitives,63,F,True
C00421,Rx-Only,66,M,False
C00422,Occasional Visitors,24,F,True
C00423,Chronic Loyalists,42,M,True
C00424,Health Seekers,41,F,False
C00425,Chronic Loyalists,75,M,True
C00426,Rx-Only,75,F,True
C00427,Health Seekers,46,F,True
C00428,Chronic Loyalists,46,M,True
C00429,Price Sensitives,41,M,True
C00430,Rx-Only,50,M,True
C00431,Chronic Loyalists,72,F,True
C00432,Chronic Loyalists,32,F,True
C00433,At-Risk Lapsing,40,M,True
C00434,Occasional Visitors,67,M,True
C00435,Chronic Loyalists,25,F,True
C00436,Rx-Only,73,M,True
C00437,Rx-Only,58,F,True
C00438,Health Seekers,48,M,False
C00439,Health Seekers,26,M,True
C00440,Rx-Only,59,M,False
C00441,Chronic Loyalists,26,M,True
C00442,Rx-Only,74,F,False
C00443,Health Seekers,70,F,True
C00444,Chronic Loyalists,25,F,True
C00445,Rx-Only,62,F,False
C00446,Occasional Visitors,34,M,True
C00447,Occasional Visitors,62,F,True
C00448,Health Seekers,31,F,True
C00449,Occasional Visitors,76,F,False
C00450,Rx-Only,36,F,True
C00451,Chronic Loyalists,53,F,True
C00452,Chronic Loyalists,44,F,True
C00453,Chronic Loyalists,26,F,True
C00454,Health Seekers,32,F,False
C00455,Chronic Loyalists,64,M,True
C00456,Occasional Visitors,31,M,True
C00457,At-Risk Lapsing,52,F,True
C00458,At-Risk Lapsing,36,M,True
C00459,Rx-Only,35,M,False
C00460,Chronic Loyalists,71,M,True
C00461,At-Risk Lapsing,75,F,False
C00462,Rx-Only,53,F,True
C00463,Chronic Loyalists,39,M,True
C00464,Rx-Only,46,M,True
C00465,Chronic Loyalists,53,F,True
C00466,Health Seekers,53,M,False
C00467,Rx-Only,42,F,True
C00468,Occasional Visitors,67,F,True
C00469,Chronic Loyalists,43,F,True
C00470,Occasional Visitors,23,M,True
C00471,Occasional Visitors,52,F,True
C00472,Health Seekers,43,F,True
C00473,Health Seekers,40,M,True
C00474,Price Sensitives,58,M,True
C00475,Chronic Loyalists,22,F,False
C00476,Rx-Only,63,F,True
C00477,Occasional Visitors,60,F,True
C00478,Health Seekers,30,F,True
C00479,Occasional Visitors,33,F,True
C00480,At-Risk Lapsing,41,M,True
C00481,Health Seekers,77,F,True
C00482,Rx-Only,41,F,True
C00483,Health Seekers,42,M,True
C00484,Rx-Only,25,M,True
C00485,Rx-Only,25,F,True
C00486,Rx-Only,76,F,True
C00487,Occasional Visitors,39,F,True
C00488,Health Seekers,67,M,True
C00489,At-Risk Lapsing,74,F,True
C00490,Rx-Only,57,M,True
C00491,Chronic Loyalists,73,M,False
C00492,At-Risk Lapsing,75,F,True
C00493,Rx-Only,69,M,True
C00494,Occasional Visitors,32,F,False
C00495,Chronic Loyalists,73,M,True
C00496,Occasional Visitors,51,F,True
C00497,Rx-Only,66,F,True
C00498,Rx-Only,72,M,True
C00499,Occasional Visitors,31,F,True
C00500,Rx-Only,60,F,False
C00501,Occasional Visitors,27,M,True
C00502,Chronic Loyalists,52,F,True
C00503,Chronic Loyalists,65,M,True
C00504,Health Seekers,49,F,False
C00505,Rx-Only,46,F,True
C00506,Price Sensitives,64,M,False
C00507,Chronic Loyalists,25,M,False
C00508,Price Sensitives,39,F,True
C00509,Chronic Loyalists,69,F,True
C00510,Occasional Visitors,42,M,True
C00511,Chronic Loyalists,45,M,True
C00512,Rx-Only,62,M,True
C00513,Health Seekers,28,F,True
C00514,Health Seekers,49,F,True
C00515,Rx-Only,55,M,True
C00516,Rx-Only,26,F,False
C00517,Chronic Loyalists,37,M,True
C00518,Health Seekers,68,F,False
C00519,At-Risk Lapsing,72,F,True
C00520,Health Seekers,41,F,False
C00521,Chronic Loyalists,61,F,False
C00522,Health Seekers,62,F,False
C00523,Chronic Loyalists,46,M,True
C00524,Health Seekers,56,M,True
C00525,Health Seekers,64,F,False
C00526,Chronic Loyalists,49,F,True
C00527,Rx-Only,36,F,True
C00528,Rx-Only,27,F,True
C00529,Health Seekers,48,M,False
C00530,Rx-Only,76,M,False
C00531,Occasional Visitors,58,M,True
C00532,Chronic Loyalists,53,M,True
C00533,At-Risk Lapsing,66,F,True
C00534,Rx-Only,25,F,False
C00535,Chronic Loyalists,48,F,True
C00536,Occasional Visitors,47,M,True
C00537,Chronic Loyalists,50,M,False
C00538,Occasional Visitors,65,F,False
C00539,Occasional Visitors,30,M,True
C00540,Occasional Visitors,49,F,True
C00541,Chronic Loyalists,47,M,True
C00542,Health Seekers,68,M,True
C00543,Rx-Only,43,F,False
C00544,At-Risk Lapsing,56,M,True
C00545,Chronic Loyalists,56,F,True
C00546,Chronic Loyalists,41,M,False
C00547,Chronic Loyalists,24,F,True
C00548,Health Seekers,42,M,True
C00549,Occasional Visitors,57,F,False
C00550,Occasional Visitors,34,F,True
C00551,Price Sensitives,48,F,True
C00552,Rx-Only,59,M,True
C00553,Health Seekers,51,F,True
C00554,Chronic Loyalists,45,M,False
C00555,Price Sensitives,40,F,False
C00556,Occasional Visitors,49,M,False
C00557,Occasional Visitors,76,F,True
C00558,Rx-Only,77,F,True
C00559,Health Seekers,30,M,True
C00560,Occasional Visitors,74,M,True
C00561,Occasional Visitors,25,M,False
C00562,Price Sensitives,67,M,False
C00563,Rx-Only,37,M,False
C00564,Rx-Only,32,F,False
C00565,Occasional Visitors,69,F,True
C00566,Chronic Loyalists,30,F,True
C00567,Chronic Loyalists,53,F,True
C00568,Chronic Loyalists,75,M,False
C00569,Health Seekers,73,M,True
C00570,Rx-Only,50,F,True
C00571,Chronic Loyalists,43,F,False
C00572,Health Seekers,48,F,True
C00573,Rx-Only,43,M,True
C00574,Rx-Only,48,M,True
C00575,Rx-Only,66,F,True
C00576,Rx-Only,41,M,True
C00577,Price Sensitives,70,M,True
C00578,Chronic Loyalists,47,F,True
C00579,Health Seekers,75,F,True
C00580,Health Seekers,38,M,True
C00581,Rx-Only,60,F,True
C00582,Rx-Only,67,M,True
C00583,Rx-Only,29,F,True
C00584,Health Seekers,66,F,False
C00585,Chronic Loyalists,48,M,True
C00586,Chronic Loyalists,68,F,True
C00587,Occasional Visitors,57,M,True
C00588,Rx-Only,41,F,True
C00589,Health Seekers,60,M,True
C00590,Health Seekers,32,F,True
C00591,Price Sensitives,60,F,True
C00592,Chronic Loyalists,23,F,False
C00593,Chronic Loyalists,38,F,True
C00594,Rx-Only,66,M,False
C00595,Rx-Only,52,F,False
C00596,Occasional Visitors,75,F,True
C00597,Chronic Loyalists,30,M,False
C00598,Health Seekers,24,F,False
C00599,Chronic Loyalists,32,F,True
C00600,Chronic Loyalists,54,F,True
C00601,Rx-Only,58,F,True
C00602,Health Seekers,31,F,True
C00603,Health Seekers,48,M,True
C00604,Occasional Visitors,29,M,True
C00605,At-Risk Lapsing,22,M,True
C00606,At-Risk Lapsing,51,M,True
C00607,At-Risk Lapsing,25,M,True
C00608,Price Sensitives,48,M,True
C00609,Occasional Visitors,36,F,True
C00610,Occasional Visitors,58,F,True
C00611,Price Sensitives,25,F,True
C00612,Chronic Loyalists,68,M,True
C00613,Rx-Only,58,F,True
C00614,Occasional Visitors,44,M,True
C00615,Health Seekers,72,M,True
C00616,Health Seekers,65,F,True
C00617,Rx-Only,45,F,True
C00618,Rx-Only,72,F,True
C00619,Rx-Only,45,F,True
C00620,Chronic Loyalists,26,F,True
C00621,Chronic Loyalists,48,F,True
C00622,Rx-Only,75,M,False
C00623,Chronic Loyalists,77,M,False
C00624,Chronic Loyalists,40,F,True
C00625,Rx-Only,57,M,True
C00626,Rx-Only,48,F,True
C00627,Occasional Visitors,74,F,True
C00628,Occasional Visitors,68,F,False
C00629,Chronic Loyalists,30,M,True
C00630,Occasional Visitors,53,M,True
C00631,Health Seekers,26,F,True
C00632,Occasional Visitors,71,F,True
C00633,Occasional Visitors,75,F,True
C00634,Rx-Only,33,F,True
C00635,Rx-Only,51,M,False
C00636,At-Risk Lapsing,61,M,True
C00637,Occasional Visitors,46,F,True
C00638,Chronic Loyalists,29,F,True
C00639,Price Sensitives,56,F,True
C00640,Rx-Only,67,M,True
C00641,Chronic Loyalists,56,F,True
C00642,Price Sensitives,55,M,True
C00643,Price Sensitives,23,M,True
C00644,Occasional Visitors,37,F,True
C00645,Occasional Visitors,77,M,True
C00646,Health Seekers,29,M,True
C00647,Price Sensitives,50,F,False
C00648,Rx-Only,51,F,True
C00649,Rx-Only,46,M,False
C00650,Price Sensitives,31,F,True
C00651,Chronic Loyalists,53,F,True
C00652,Occasional Visitors,45,M,True
C00653,Chronic Loyalists,44,F,True
C00654,Health Seekers,39,F,True
C00655,Occasional Visitors,36,M,True
C00656,Occasional Visitors,39,M,True
C00657,Chronic Loyalists,71,F,True
C00658,Chronic Loyalists,49,M,True
C00659,Rx-Only,55,M,False
C00660,Price Sensitives,40,F,True
C00661,At-Risk Lapsing,58,M,True
C00662,Rx-Only,48,F,True
C00663,Chronic Loyalists,42,F,True
C00664,At-Risk Lapsing,68,F,True
C00665,Rx-Only,40,F,True
C00666,Rx-Only,60,F,True
C00667,Chronic Loyalists,35,F,True
C00668,Occasional Visitors,39,F,True
C00669,Occasional Visitors,30,F,True
C00670,Price Sensitives,54,F,False
C00671,Chronic Loyalists,30,M,True
C00672,Occasional Visitors,27,F,True
C00673,Occasional Visitors,75,F,True
C00674,Chronic Loyalists,34,M,True
C00675,Rx-Only,68,F,True
C00676,Price Sensitives,23,M,True
C00677,Rx-Only,46,F,True
C00678,Rx-Only,45,F,False
C00679,Rx-Only,59,F,True
C00680,Occasional Visitors,61,M,False
C00681,Rx-Only,63,F,False
C00682,Chronic Loyalists,28,M,True
C00683,Occasional Visitors,28,M,True
C00684,Chronic Loyalists,64,F,True
C00685,Occasional Visitors,53,F,False
C00686,Occasional Visitors,29,M,True
C00687,Price Sensitives,50,M,True
C00688,Rx-Only,36,M,True
C00689,At-Risk Lapsing,30,M,True
C00690,Occasional Visitors,32,F,True
C00691,Health Seekers,47,M,True
C00692,Occasional Visitors,66,M,False
C00693,Rx-Only,25,M,True
C00694,Occasional Visitors,68,F,True
C00695,Rx-Only,68,M,True
C00696,Chronic Loyalists,26,F,True
C00697,Rx-Only,59,F,True
C00698,Price Sensitives,67,M,True
C00699,Occasional Visitors,39,F,True
C00700,Rx-Only,24,M,True
C00701,Price Sensitives,65,F,False
C00702,Occasional Visitors,32,M,True
C00703,Chronic Loyalists,25,F,False
C00704,At-Risk Lapsing,33,M,True
C00705,Rx-Only,76,M,True
C00706,Chronic Loyalists,72,F,True
C00707,At-Risk Lapsing,74,F,False
C00708,Health Seekers,63,F,True
C00709,Health Seekers,64,F,True
C00710,Occasional Visitors,43,F,False
C00711,Occasional Visitors,49,F,True
C00712,Rx-Only,45,F,True
C00713,Occasional Visitors,48,M,True
C00714,Rx-Only,65,F,True
C00715,Chronic Loyalists,76,F,False
C00716,Occasional Visitors,70,F,True
C00717,Chronic Loyalists,56,F,True
C00718,Rx-Only,66,M,True
C00719,Rx-Only,22,M,True
C00720,At-Risk Lapsing,44,F,True
C00721,Chronic Loyalists,22,M,False
C00722,Health Seekers,25,F,True
C00723,Rx-Only,33,F,True
C00724,Rx-Only,76,F,False
C00725,Occasional Visitors,44,F,True
C00726,Chronic Loyalists,50,M,True
C00727,Chronic Loyalists,67,M,True
C00728,Price Sensitives,22,M,False
C00729,Occasional Visitors,57,F,False
C00730,Occasional Visitors,24,F,True
C00731,Chronic Loyalists,73,M,True
C00732,Rx-Only,62,M,True
C00733,Health Seekers,31,M,True
C00734,Health Seekers,24,F,True
C00735,Occasional Visitors,57,F,False
C00736,Rx-Only,71,F,False
C00737,Occasional Visitors,35,M,True
C00738,At-Risk Lapsing,57,F,False
C00739,Health Seekers,42,M,True
C00740,Rx-Only,31,M,True
C00741,Rx-Only,32,F,True
C00742,Rx-Only,73,F,True
C00743,Chronic Loyalists,22,F,True
C00744,Price Sensitives,45,M,True
C00745,Chronic Loyalists,27,F,True
C00746,Price Sensitives,38,M,True
C00747,Chronic Loyalists,27,M,False
C00748,Chronic Loyalists,70,F,True
C00749,Rx-Only,38,M,True
C00750,Health Seekers,25,M,True
C00751,Chronic Loyalists,54,F,True
C00752,Rx-Only,27,F,False
C00753,Rx-Only,26,F,False
C00754,At-Risk Lapsing,56,F,True
C00755,Price Sensitives,46,M,True
C00756,Health Seekers,77,F,True
C00757,Health Seekers,76,F,False
C00758,Rx-Only,73,F,True
